sudalairajkumar/simple-exploration-baseline-notebook-avito,699,23,,64
poonaml/titanic-survival-prediction-end-to-end-ml-pipeline,795,30,Beginner%Data Visualization%Exploratory Data Analysis%Ensembling,72
pavansanagapati/knowledge-graph-nlp-tutorial-bert-spacy-nltk,555,40,NLP%NLTK,45
abhishek/roberta-inference-5-folds,1061,4,GPU,111
phalanx/train-swin-t-pytorch-lightning,885,17,GPU%pandas%Matplotlib%Seaborn%torchvision,46
rohanrao/ashrae-half-and-half,618,3,Beginner%Regression%Gradient Boosting,76
bminixhofer/simple-lstm-pytorch-version,1027,5,Beginner%Deep Learning,87
cdeotte/tensorflow-longformer-ner-cv-0-633,865,5,,133
hidehisaarai1213/inference-pytorch-birdcall-resnet-baseline,690,3,Beginner%Deep Learning,74
cdeotte/tensorflow-roberta-0-705,817,2,GPU,203
alexisbcook/getting-started-with-30-days-of-ml-competition,4261,12,pandas,61
parulpandey/geek-girls-rising-myth-or-reality,251,75,Data Visualization%Exploratory Data Analysis%Survey Analysis,95
robikscube/ieee-fraud-detection-first-look-and-eda,294,27,,40
niklasdonges/end-to-end-project-with-python,950,62,Beginner%Data Visualization%Classification%Feature Engineering%Random Forest,103
baghern/a-deep-dive-into-sklearn-pipelines,390,3,Text Data%Multiclass Classification,45
ihelon/cassava-leaf-disease-exploratory-data-analysis,396,22,Beginner%Exploratory Data Analysis%Classification%Image Data%Computer Vision,56
phoenigs/u-net-dropout-augmentation-stratification,1088,3,Image Data,65
imoore/titanic-the-only-notebook-you-need-to-see,770,12,pandas%Matplotlib%NumPy%Seaborn%Exploratory Data Analysis,74
mgornergoogle/getting-started-with-100-flowers-on-tpu,1446,38,TPU%TensorFlow%Deep Learning%Computer Vision,75
yuval6967/toxic-bert-plain-vanila,2363,2,GPU%Classification,237
wesamelshamy/trackml-problem-explanation-and-data-exploration,600,19,Data Visualization%Exploratory Data Analysis%Statistical Analysis%Physics,66
ragnar123/very-fst-model,903,43,,56
tommy1028/lightgbm-starter-with-feature-engineering-idea,798,9,Investing%LightGBM,67
